link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,parent_link_id,length,grade,facility_type,capacity,free_speed,lanes
100000001,110N05711,110N05711_EASTBOUND,38.0,100000001,100000002,1,,"LINESTRING (-77.3715 39.0144,-77.370939.0141)",1,,0.03862,,,,,
100000002,110-05710,110-05710_EASTBOUND,39.0,100000002,100000003,1,,"LINESTRING (-77.3709 39.0141,-77.368439.0127)",1,,0.164895,,,,,
100000003,110N05710,110N05710_EASTBOUND,40.0,100000003,100000004,1,,"LINESTRING (-77.3684 39.0127,-77.360539.0086)",1,,0.512158,,,,,
100000004,110-05709,110-05709_EASTBOUND,41.0,100000004,100000005,1,,"LINESTRING (-77.3605 39.0086,-77.350239.0028)",1,,0.682589,,,,,
100000005,110-05708,110-05708_EASTBOUND,42.0,100000005,100000006,1,,"LINESTRING (-77.3502 39.0028,-77.345539.0005)",1,,0.29673099999999997,,,,,
100000006,110N05708,110N05708_EASTBOUND,42.1,100000006,100000007,1,,"LINESTRING (-77.3455 39.0005,-77.345439.0005)",1,,0.006842,,,,,
100000007,110-05707,110-05707_EASTBOUND,43.0,100000007,100000008,1,,"LINESTRING (-77.3454 39.0005,-77.336538.9946)",1,,0.6301680000000001,,,,,
100000008,110N05707,110N05707_EASTBOUND,43.1,100000008,100000009,1,,"LINESTRING (-77.3365 38.9946,-77.336438.9945)",1,,0.009041,,,,,
100000009,110-05706,110-05706_EASTBOUND,44.0,100000009,100000010,1,,"LINESTRING (-77.3364 38.9945,-77.315738.9778)",1,,1.61683,,,,,
100000010,110N05706,110N05706_EASTBOUND,45.0,100000010,100000011,1,,"LINESTRING (-77.3157 38.9778,-77.314738.9773)",1,,0.066453,,,,,
100000011,110-05705,110-05705_EASTBOUND,46.0,100000011,100000012,1,,"LINESTRING (-77.3147 38.9773,-77.303938.9738)",1,,0.629957,,,,,
100000012,110-05704,110-05704_EASTBOUND,47.0,100000012,100000013,1,,"LINESTRING (-77.3039 38.9738,-77.291538.9672)",1,,0.8116979999999999,,,,,
100000013,110-05703,110-05703_EASTBOUND,48.0,100000013,100000014,1,,"LINESTRING (-77.2915 38.9672,-77.276938.9597)",1,,0.95352,,,,,
100000014,110-05702,110-05702_EASTBOUND,49.0,100000014,100000015,1,,"LINESTRING (-77.2769 38.9597,-77.274738.958)",1,,0.165908,,,,,
100000015,110-05701,110-05701_EASTBOUND,50.0,100000015,100000016,1,,"LINESTRING (-77.2747 38.958,-77.264538.9514)",1,,0.717201,,,,,
100000016,110-05700,110-05700_EASTBOUND,51.0,100000016,100000017,1,,"LINESTRING (-77.2645 38.9514,-77.255238.9428)",1,,0.77588,,,,,
100000017,110-05699,110-05699_EASTBOUND,52.0,100000017,100000018,1,,"LINESTRING (-77.2552 38.9428,-77.247738.9351)",1,,0.666166,,,,,
100000018,110N05699,110N05699_EASTBOUND,53.0,100000018,100000019,1,,"LINESTRING (-77.2477 38.9351,-77.243538.9307)",1,,0.376643,,,,,
100000019,110-05698,110-05698_EASTBOUND,54.0,100000019,100000020,1,,"LINESTRING (-77.2435 38.9307,-77.236938.9238)",1,,0.597781,,,,,
100000020,110N05698,110N05698_EASTBOUND,55.0,100000020,100000021,1,,"LINESTRING (-77.2369 38.9238,-77.236838.9237)",1,,0.009059999999999999,,,,,
100000021,110-05697,110-05697_EASTBOUND,56.0,100000021,100000022,1,,"LINESTRING (-77.2368 38.9237,-77.232638.9196)",1,,0.36355,,,,,
100000022,110N05697,110N05697_EASTBOUND,57.0,100000022,100000023,1,,"LINESTRING (-77.2326 38.9196,-77.230238.9178)",1,,0.181803,,,,,
100000023,110-05696,110-05696_EASTBOUND,58.0,100000023,100000024,1,,"LINESTRING (-77.2302 38.9178,-77.22738.9158)",1,,0.22241799999999998,,,,,
100000024,110N05696,110N05696_EASTBOUND,59.0,100000024,100000025,1,,"LINESTRING (-77.227 38.9158,-77.226238.9152)",1,,0.057548,,,,,
100000025,110-05695,110-05695_EASTBOUND,60.0,100000025,100000026,1,,"LINESTRING (-77.2262 38.9152,-77.220438.9119)",1,,0.38845,,,,,
100000026,110N05695,110N05695_EASTBOUND,61.0,100000026,100000027,1,,"LINESTRING (-77.2204 38.9119,-77.215238.9089)",1,,0.34725700000000004,,,,,
100000027,110-05694,110-05694_EASTBOUND,62.0,100000027,100000028,1,,"LINESTRING (-77.2152 38.9089,-77.214938.9088)",1,,0.016225,,,,,
100000028,110N05694,110N05694_EASTBOUND,62.1,100000028,100000029,1,,"LINESTRING (-77.2149 38.9088,-77.214638.9086)",1,,0.020786000000000002,,,,,
100000029,110-05693,110-05693_EASTBOUND,63.0,100000029,100000030,1,,"LINESTRING (-77.2146 38.9086,-77.199738.9006)",1,,1.00031,,,,,
100000030,110-05692,110-05692_EASTBOUND,64.0,100000030,100000031,1,,"LINESTRING (-77.1997 38.9006,-77.199638.9005)",1,,0.007481999999999999,,,,,
100000031,110N05692,110N05692_EASTBOUND,65.0,100000031,100000032,1,,"LINESTRING (-77.1996 38.9005,-77.194338.8971)",1,,0.368621,,,,,
100000032,110P05692,110P05692_WESTBOUND,22.0,100000033,100000034,1,,"LINESTRING (-77.1943 38.8973,-77.199238.9005)",1,,0.342733,,,,,
100000033,110+05693,110+05693_WESTBOUND,23.0,100000034,100000035,1,,"LINESTRING (-77.1992 38.9005,-77.199638.9007)",1,,0.027527999999999997,,,,,
100000034,110+05694,110+05694_WESTBOUND,24.0,100000035,100000036,1,,"LINESTRING (-77.1996 38.9007,-77.214538.9088)",1,,1.00352,,,,,
100000035,110P05694,110P05694_WESTBOUND,24.1,100000036,100000037,1,,"LINESTRING (-77.2145 38.9088,-77.214838.9089)",1,,0.019618,,,,,
100000036,110+05695,110+05695_WESTBOUND,25.0,100000037,100000038,1,,"LINESTRING (-77.2148 38.9089,-77.215438.9093)",1,,0.037918,,,,,
100000037,110P05695,110P05695_WESTBOUND,26.0,100000038,100000039,1,,"LINESTRING (-77.2154 38.9093,-77.221438.9125)",1,,0.391445,,,,,
100000038,110+05696,110+05696_WESTBOUND,27.0,100000039,100000040,1,,"LINESTRING (-77.2214 38.9125,-77.22638.9154)",1,,0.318641,,,,,
100000039,110P05696,110P05696_WESTBOUND,28.0,100000040,100000041,1,,"LINESTRING (-77.226 38.9154,-77.226838.9158)",1,,0.052894000000000004,,,,,
100000040,110+05697,110+05697_WESTBOUND,29.0,100000041,100000042,1,,"LINESTRING (-77.2268 38.9158,-77.230538.9184)",1,,0.26686,,,,,
100000041,110P05697,110P05697_WESTBOUND,30.0,100000042,100000043,1,,"LINESTRING (-77.2305 38.9184,-77.232138.9197)",1,,0.122422,,,,,
100000042,110+05698,110+05698_WESTBOUND,31.0,100000043,100000044,1,,"LINESTRING (-77.2321 38.9197,-77.236438.9239)",1,,0.37767399999999995,,,,,
100000043,110P05698,110P05698_WESTBOUND,32.0,100000044,100000045,1,,"LINESTRING (-77.2364 38.9239,-77.236538.924)",1,,0.008892,,,,,
100000044,110+05699,110+05699_WESTBOUND,33.0,100000045,100000046,1,,"LINESTRING (-77.2365 38.924,-77.244738.9323)",1,,0.718829,,,,,
100000045,110P05699,110P05699_WESTBOUND,34.0,100000046,100000047,1,,"LINESTRING (-77.2447 38.9323,-77.248738.9364)",1,,0.361879,,,,,
100000046,110+05700,110+05700_WESTBOUND,35.0,100000047,100000048,1,,"LINESTRING (-77.2487 38.9364,-77.255138.9429)",1,,0.561833,,,,,
100000047,110+05701,110+05701_WESTBOUND,36.0,100000048,100000049,1,,"LINESTRING (-77.2551 38.9429,-77.264438.9515)",1,,0.778533,,,,,
100000048,110+05702,110+05702_WESTBOUND,37.0,100000049,100000050,1,,"LINESTRING (-77.2644 38.9515,-77.274638.9581)",1,,0.714132,,,,,
100000049,110+05703,110+05703_WESTBOUND,38.0,100000050,100000051,1,,"LINESTRING (-77.2746 38.9581,-77.276838.9597)",1,,0.166945,,,,,
100000050,110+05704,110+05704_WESTBOUND,39.0,100000051,100000052,1,,"LINESTRING (-77.2768 38.9597,-77.291438.9673)",1,,0.9561299999999999,,,,,
100000051,110+05705,110+05705_WESTBOUND,40.0,100000052,100000053,1,,"LINESTRING (-77.2914 38.9673,-77.303838.974)",1,,0.814711,,,,,
100000052,110+05706,110+05706_WESTBOUND,41.0,100000053,100000054,1,,"LINESTRING (-77.3038 38.974,-77.314638.9775)",1,,0.627912,,,,,
100000053,110P05706,110P05706_WESTBOUND,41.1,100000054,100000055,1,,"LINESTRING (-77.3146 38.9775,-77.315738.978)",1,,0.067981,,,,,
100000054,110+05707,110+05707_WESTBOUND,42.0,100000055,100000056,1,,"LINESTRING (-77.3157 38.978,-77.336238.9946)",1,,1.61216,,,,,
100000055,110P05707,110P05707_WESTBOUND,42.1,100000056,100000057,1,,"LINESTRING (-77.3362 38.9946,-77.336438.9947)",1,,0.009172,,,,,
100000056,110+05708,110+05708_WESTBOUND,43.0,100000057,100000058,1,,"LINESTRING (-77.3364 38.9947,-77.344939.0004)",1,,0.604753,,,,,
100000057,110P05708,110P05708_WESTBOUND,44.0,100000058,100000059,1,,"LINESTRING (-77.3449 39.0004,-77.34639.001)",1,,0.074121,,,,,
100000058,110+05709,110+05709_WESTBOUND,45.0,100000059,100000060,1,,"LINESTRING (-77.346 39.001,-77.3539.003)",1,,0.254799,,,,,
100000059,110+05710,110+05710_WESTBOUND,46.0,100000060,100000061,1,,"LINESTRING (-77.35 39.003,-77.360939.009)",1,,0.718593,,,,,
100000060,110P05710,110P05710_WESTBOUND,47.0,100000061,100000062,1,,"LINESTRING (-77.3609 39.009,-77.367339.0125)",1,,0.42199899999999996,,,,,
100000061,110+05711,110+05711_WESTBOUND,48.0,100000062,100000063,1,,"LINESTRING (-77.3673 39.0125,-77.370739.0143)",1,,0.220479,,,,,
100000062,110P05711,110P05711_WESTBOUND,48.1,100000063,100000064,1,,"LINESTRING (-77.3707 39.0143,-77.370939.0143)",1,,0.00796,,,,,
