,agent_id,date,trace_id,hh,mm,ss,y_coord,x_coord
0,1,,0,,None,,39.0144,-77.3715
1,1,,1,,None,,39.0141,-77.3709
2,1,,2,,None,,39.0127,-77.3684
3,1,,3,,None,,39.0086,-77.3605
4,1,,4,,None,,39.0028,-77.3502
5,1,,5,,None,,39.0005,-77.3455
6,1,,6,,None,,39.0005,-77.3454
7,1,,7,,None,,38.9946,-77.3365
8,1,,8,,None,,38.9945,-77.3364
9,1,,9,,None,,38.9778,-77.3157
10,1,,10,,None,,38.9773,-77.3147
11,1,,11,,None,,38.9738,-77.3039
12,1,,12,,None,,38.9672,-77.2915
13,1,,13,,None,,38.9597,-77.2769
14,1,,14,,None,,38.958,-77.2747
15,1,,15,,None,,38.9514,-77.2645
16,1,,16,,None,,38.9428,-77.2552
17,1,,17,,None,,38.9351,-77.2477
18,1,,18,,None,,38.9307,-77.2435
19,1,,19,,None,,38.9238,-77.2369
20,1,,20,,None,,38.9237,-77.2368
21,1,,21,,None,,38.9196,-77.2326
22,1,,22,,None,,38.9178,-77.2302
23,1,,23,,None,,38.9158,-77.227
24,1,,24,,None,,38.9152,-77.2262
25,1,,25,,None,,38.9119,-77.2204
26,1,,26,,None,,38.9089,-77.2152
27,1,,27,,None,,38.9088,-77.2149
28,1,,28,,None,,38.9086,-77.2146
29,1,,29,,None,,38.9006,-77.1997
30,1,,30,,None,,38.8971,-77.1943
31,2,,0,,None,,38.8973,-77.1943
32,2,,1,,None,,38.9005,-77.1992
33,2,,2,,None,,38.9007,-77.1996
34,2,,3,,None,,38.9088,-77.2145
35,2,,4,,None,,38.9089,-77.2148
36,2,,5,,None,,38.9093,-77.2154
37,2,,6,,None,,38.9125,-77.2214
38,2,,7,,None,,38.9154,-77.226
39,2,,8,,None,,38.9158,-77.2268
40,2,,9,,None,,38.9184,-77.2305
41,2,,10,,None,,38.9197,-77.2321
42,2,,11,,None,,38.9239,-77.2364
43,2,,12,,None,,38.924,-77.2365
44,2,,13,,None,,38.9323,-77.2447
45,2,,14,,None,,38.9364,-77.2487
46,2,,15,,None,,38.9429,-77.2551
47,2,,16,,None,,38.9515,-77.2644
48,2,,17,,None,,38.9581,-77.2746
49,2,,18,,None,,38.9597,-77.2768
50,2,,19,,None,,38.9673,-77.2914
51,2,,20,,None,,38.974,-77.3038
52,2,,21,,None,,38.9775,-77.3146
53,2,,22,,None,,38.978,-77.3157
54,2,,23,,None,,38.9946,-77.3362
55,2,,24,,None,,38.9947,-77.3364
56,2,,25,,None,,39.0004,-77.3449
57,2,,26,,None,,39.001,-77.346
58,2,,27,,None,,39.003,-77.35
59,2,,28,,None,,39.009,-77.3609
60,2,,29,,None,,39.0125,-77.3673
61,2,,30,,None,,39.0143,-77.3707
62,2,,31,,None,,39.0143,-77.3709
